appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu,languages,genre,tags,estimated players,estimated active players,average total playtime,average recent playtime,release_date,days_from_release,languages_supports,review_num,positive_rate,cut_time,average_cut,duration,average_price,fix
928460,The Love Boat - Second Chances,"Boomzap, GameHouse",GameHouse,,8,15,0,"0 .. 20,000",0,0,0,0,0.0,0,0,0,"English, French, Italian, German, Spanish - Spain, Dutch, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Swedish, Thai, Traditional Chinese",Casual,"{'Casual': 32, 'Comedy': 11, 'Time Management': 11, 'Story Rich': 10, 'Female Protagonist': 10}",28000.0,1000000.0,1.2h,0.7h,"Mar 8, 2019",902,15,23,0.35,5,0.5,7,9.39,True
585880,Once on a windswept night,ebi-hime,ebi-hime,,125,19,0,"20,000 .. 50,000",0,0,0,0,0.0,0,0,0,English,"Casual, Free to Play, Indie","{'Free to Play': 46, 'Indie': 35, 'Casual': 35, 'Visual Novel': 25, 'Anime': 22, 'LGBTQ+': 16, 'Female Protagonist': 5}",260000.0,9000000.0,1.1h,0.1h,"Feb 6, 2017",1665,1,144,0.8680555555555556,0,0,0,0,True
526880,Chess Knight 2,EnsenaSoft,EnsenaSoft,,61,72,0,"20,000 .. 50,000",151,0,198,0,2.99,299,0,0,"English, French, Italian, German, Spanish - Spain, Portuguese - Brazil, Traditional Chinese, Simplified Chinese, Japanese, Korean, Dutch, Norwegian, Polish, Russian, Swedish, Hungarian","Casual, Strategy","{'Strategy': 23, 'Casual': 23, 'Board Game': 6, 'Chess': 5}",1200000.0,23000000.0,3.2h,0.1h,"Sep 11, 2016",1810,16,133,0.46,24,0.63,8,2.48,True
1049710,Minute of Islands,Studio Fizbin,Mixtvision,,172,29,0,"0 .. 20,000",0,0,0,0,19.99,1999,0,8,"English, French, Italian, German, Spanish - Spain, Japanese, Korean, Simplified Chinese","Adventure, Indie","{'Indie': 86, 'Adventure': 82, 'Hand-drawn': 58, 'Puzzle-Platformer': 55, 'Exploration': 53, 'Story Rich': 52, 'Mystery': 44, 'Comic Book': 41, 'Great Soundtrack': 39, 'Puzzle': 37, 'Atmospheric': 36, 'Platformer': 36, 'Singleplayer': 34, 'Action': 34, 'Post-apocalyptic': 32, 'Action-Adventure': 30, 'Family Friendly': 29, 'Cartoony': 16, 'Cute': 16, 'Colorful': 14}",46000.0,6000000.0,0.5h,0.4h,"Jun 13, 2021",74,8,201,0.86,2,0.23,5,18.19,True
540590,Red Barton and The Sky Pirates,Schism Worldwide,Plug In Digital,,2,9,0,"0 .. 20,000",0,0,0,0,0.99,99,0,0,"English, French, German, Russian, Simplified Chinese, Japanese, Korean, Portuguese - Brazil","Action, Indie","{'Action': 21, 'Indie': 21}",82000.0,1000000.0,0.1h,0h,"Mar 14, 2017",1626,8,11,0.18,1,0.51,13,0.74,True
1342890,Who Needs a Hero?,"Henrique Faitta Chitolina, Pidro Soft",Baby Stone Studios,,513,44,0,"20,000 .. 50,000",179,0,325,0,2.99,299,0,5,"English, Portuguese - Brazil, Spanish - Spain","Adventure, Casual, Indie, RPG","{'Choices Matter': 271, 'Casual': 265, 'Medieval': 237, 'Text-Based': 236, 'RPG': 235, 'Tabletop': 223, 'Action-Adventure': 218, 'Character Customization': 214, '2D': 196, 'Cute': 184, 'Funny': 168, 'Fantasy': 141, 'Adventure': 113, 'Comedy': 111, 'Cartoon': 75, 'Indie': 63, 'Resource Management': 58, 'Singleplayer': 55, 'Simulation': 39, 'Cartoony': 38}",19000.0,10000000.0,2.2h,1.3h,"Jan 21, 2021",217,3,557,0.92,4,0.13,12,2.8,True
807340,Frank the Miner,Classic Game Software,Droid Riot,,13,25,0,"0 .. 20,000",0,0,0,0,0.99,99,0,0,English,"Adventure, Casual, Indie","{'Indie': 41, 'Casual': 41, 'Adventure': 30, 'Platformer': 13, 'Puzzle': 12, 'Retro': 10, 'Difficult': 10}",244000.0,2000000.0,0.2h,0h,"Mar 2, 2018",1273,1,38,0.34,28,0.62,8,2.24,True
8600,RACE 07,SimBin,SimBin,,2007,369,0,"500,000 .. 1,000,000",1339,0,87,0,3.99,399,0,13,"English, French, German, Italian, Spanish - Spain",Racing,"{'Racing': 147, 'Automobile Sim': 143, 'Simulation': 94, 'Driving': 62, 'Multiplayer': 41, 'Sports': 34, 'Singleplayer': 31, 'Realistic': 17, 'Physics': 13}",3800000.0,40000000.0,1.7h,0h,"Oct 15, 2007",5064,5,2376,0.84,0,0,0,0,True
550760,Steam Dev Days: Welcome,,,,49,4,0,"0 .. 20,000",0,0,0,0,0.0,0,0,0,English,,"{'Game Development': 39, 'Documentary': 36, 'Gaming': 36}",462000.0,3000000.0,0.5h,0h,"Nov 3, 2016",1757,1,53,0.92,NA,NA,NA,NA,True
684980,Sudokube,Phil Blank,Phil Blank,,8,1,0,"0 .. 20,000",0,0,0,0,2.99,299,0,0,English,"Casual, Indie","{'Casual': 74, 'Indie': 68, 'Puzzle': 64, 'Relaxing': 61, 'Education': 58, '3D': 52, 'Cartoony': 47, 'Colorful': 43, 'Cute': 41, 'Singleplayer': 39, 'Tutorial': 37, 'Minimalist': 29, '2D': 27, 'Building': 25}",13000.0,1000000.0,1h,0.1h,"Nov 15, 2017",1383,1,9,0.8888888888888888,28,0.34,8,2.48,True
680140,Tetsoidea Eternal,Brewsterland Studios,Brewsterland Studios,,0,3,0,"0 .. 20,000",0,0,0,0,1.99,199,0,0,English,"Action, Adventure, Casual, Indie, RPG","{'Casual': 22, 'Action': 21, 'Adventure': 21, 'RPG': 21, 'Indie': 21, 'Funny': 11, 'JRPG': 11, 'Female Protagonist': 11, 'RPGMaker': 8}",23000.0,0.0,0.3h,0.2h,"Aug 7, 2017",1480,1,3,0.0,39,0.28,9,0.95,True
275670,Space Run,Passtech Games,Focus Home Interactive,,1656,261,0,"200,000 .. 500,000",486,0,772,0,9.99,999,0,10,"English, French, German, Spanish - Spain, Russian, Korean","Indie, Strategy","{'Tower Defense': 115, 'Strategy': 88, 'Space': 84, 'Indie': 56, 'Sci-fi': 44, 'Adventure': 22, 'Singleplayer': 20, 'Action': 16}",1100000.0,51000000.0,3.9h,0.2h,"Jun 13, 2014",2631,6,1917,0.86,2,0.78,8,6.12,True
